# 공휴일 시드 데이터 (HolidaySource → holiday 테이블 upsert)
# 형식: holiday_date,name,notify_offset_days  (ISO yyyy-MM-dd, UTF-8)
#   - notify_offset_days 생략 시 0(당일 발송). 음수=공휴일 전(예: -1 전날 발송).
#   - 주석(#)/빈 줄/헤더 행 허용. name에 쉼표 불가.
# 정책: 대체공휴일도 원 공휴일 기본명으로 표시(예: 08-17 = "광복절"). 연휴는 각 날짜를 개별 행으로.
# 추후 Google Sheet로 원천 전환 예정(issue #17) — 그때 이 파일은 폐기.
holiday_date,name,notify_offset_days

# 2026
2026-07-17,제헌절,0
2026-08-15,광복절,0
# 08-17: 광복절 대체공휴일 (정책상 기본명 "광복절"로 표시)
2026-08-17,광복절,0
2026-09-24,추석,0
2026-09-25,추석,0
2026-09-26,추석,0
2026-10-03,개천절,0
2026-10-05,개천절,0
2026-10-09,한글날,0
2026-12-25,성탄절,0

# 2027
2027-01-01,신정,0
2027-02-06,설날,0
2027-02-07,설날,0
2027-02-08,설날,0
2027-03-01,삼일절,0
2027-05-01,노동절,0
2027-05-05,어린이날,0
2027-05-13,석가탄신일,0
