# 공휴일 시드 데이터 (P5)
# 각 행 = 해당 날짜 당일 발송, name=[공휴일명] 표시값. 연휴 묶음/offset 미적용(추후).
# 형식: holidayDate,name  (ISO yyyy-MM-dd, UTF-8). 주석(#)/빈 줄 허용. name에 쉼표 불가.
# 정책: 대체공휴일도 원 공휴일 기본명으로 표시한다(예: 08-17 = "광복절"). 연휴는 각 날짜를 개별 행으로 둔다.
# 범위: 2026은 배포 시점(2026-06) 기준 미도래 공휴일만 포함. 지난 날짜는 발송 실익이 없어 생략.
holidayDate,name

# 2026
2026-07-17,제헌절
2026-08-15,광복절
# 08-17: 광복절 대체공휴일 (정책상 기본명 "광복절"로 표시)
2026-08-17,광복절
2026-09-24,추석
2026-09-25,추석
2026-09-26,추석
2026-10-03,개천절
2026-10-05,개천절
2026-10-09,한글날
2026-12-25,성탄절

# 2027
2027-01-01,신정
2027-02-06,설날
2027-02-07,설날
2027-02-08,설날
2027-03-01,삼일절
2027-05-01,노동절
2027-05-05,어린이날
2027-05-13,석가탄신일
